Position,Company,Location,URL
모빌리티엔 자동차보험 웹서비스 백엔드 개발자의 전체 세부 정보,모빌리티엔,서울 성동구,https://kr.indeed.com/rc/clk?jk=f7920ae82f186b88&fccid=77914dd9da8d71f8&vjs=3
Partner Manager  APAC의 전체 세부 정보,Sendbird,서울,https://kr.indeed.com/rc/clk?jk=2e4aaa8f357f10c1&fccid=9ba9500ecf2596c5&vjs=3
웹 서비스 및 모바일 앱의 UI 디자이너의 전체 세부 정보,브레싱스 주식회사 관심기업,서울 역삼동,https://kr.indeed.com/rc/clk?jk=ab91288ca5716c8b&fccid=550550f565ca2d67&vjs=3
CAD/ CAM 설계원 (신입 및 경력자 별도협의)의 전체 세부 정보,에스에이치엘,대구 달성군,https://kr.indeed.com/rc/clk?jk=776425242e3dbbc9&fccid=6fcc48d21fceda12&vjs=3
